member_id,visit_date,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
1,11-10-2024,64,Other,Annual,HIIT,28,171,20:04,Absent
2,01-06-2024,65,Female,Quarterly,Strength Training,72,650,19:17,Absent
3,13-06-2024,45,Male,Quarterly,Cardio,70,633,07:24,Absent
4,05-02-2024,35,Female,Monthly,CrossFit,64,362,07:18,Absent
5,13-07-2024,26,Female,Quarterly,Yoga,31,262,11:22,Absent
6,11-09-2024,45,Other,Quarterly,Cardio,63,518,20:08,Present
7,22-02-2024,30,Other,Quarterly,CrossFit,50,404,18:17,Absent
8,04-05-2024,38,Male,Annual,Yoga,99,959,21:59,Absent
9,10-02-2024,61,Female,Monthly,CrossFit,36,289,09:39,Present
10,14-08-2024,36,Other,Quarterly,Strength Training,94,643,11:29,Absent
11,11-10-2024,60,Female,Monthly,Strength Training,110,738,22:43,Present
12,25-12-2024,26,Female,Monthly,HIIT,86,547,08:17,Absent
13,28-06-2024,48,Female,Quarterly,HIIT,44,389,19:08,Absent
14,01-12-2024,54,Other,Annual,Yoga,99,644,14:45,Absent
15,08-07-2024,40,Other,Quarterly,CrossFit,99,643,20:18,Present
16,05-10-2024,38,Other,Monthly,HIIT,106,976,13:15,Absent
17,01-12-2024,28,Other,Monthly,Yoga,34,244,09:13,Present
18,27-06-2024,35,Other,Annual,CrossFit,25,211,18:38,Present
19,31-10-2024,32,Female,Annual,CrossFit,55,402,09:06,Present
20,31-07-2024,32,Female,Monthly,CrossFit,48,330,10:35,Present
21,02-01-2024,51,Other,Monthly,Cardio,68,526,16:58,Absent
22,28-07-2024,53,Female,Annual,HIIT,41,248,14:24,Absent
23,06-05-2024,30,Male,Quarterly,HIIT,98,577,20:49,Absent
24,31-07-2024,20,Male,Monthly,CrossFit,104,589,21:37,Present
25,07-12-2024,63,Male,Annual,Yoga,54,288,12:09,Present
26,23-09-2024,21,Female,Annual,Yoga,40,358,14:09,Absent
27,12-06-2024,52,Male,Monthly,CrossFit,77,620,14:48,Absent
28,02-05-2024,49,Other,Annual,HIIT,37,187,19:56,Absent
29,07-02-2024,39,Other,Quarterly,Strength Training,120,991,21:23,Present
30,02-12-2024,57,Female,Annual,CrossFit,96,621,13:16,Absent
31,10-03-2024,18,Male,Monthly,Cardio,52,455,09:43,Present
